Resource,Start,End,Track,Train
10,99.44,118.53,77,12
11,99.44,105.36,77,12
1,121.12,122.12,92,12
4,117.14,117.14,93,3
5,117.14,122.44,93,3
16,95.11,117.14,74,3
15,95.11,99.41,74,3
2,122.44,123.44,93,3
3,123.31,124.31,94,0
6,103.29,103.29,95,11
7,103.29,125.09,95,11
12,83.41,103.29,64,11
13,83.41,87.36,64,11
1,124.58,125.58,95,11
2,127.19,128.19,96,0
3,127.83,128.83,97,0
6,119.25,119.25,98,5
7,119.25,129.05,98,5
12,98.24,119.25,76,5
13,98.24,102.19,76,5
1,128.19,129.19,98,5
4,131.23,131.23,101,2
5,131.23,132.43,101,2
10,112.39,131.23,85,2
11,112.39,118.31,85,2
1,131.47,132.47,100,0
2,132.42,133.42,101,2
3,133.75,134.75,102,0
6,126.33,126.33,103,4
7,126.33,134.93,103,4
12,106.95,126.33,82,4
13,106.95,110.90,82,4
1,134.92,135.92,103,4
3,136.77,137.77,104,0
4,133.46,135.96,105,9
5,135.96,138.36,105,9
12,110.96,133.46,84,9
13,110.96,114.91,84,9
2,138.01,139.01,105,9
6,124.34,124.34,107,8
7,124.34,139.44,107,8
10,105.93,124.34,81,8
11,105.93,111.84,81,8
1,139.41,140.41,107,8
3,141.37,142.37,108,0
2,141.97,142.97,109,0
6,145.04,145.04,110,11
7,145.04,145.24,110,11
12,125.09,145.04,95,11
13,125.09,129.04,95,11
1,145.20,146.20,110,11
4,122.97,125.47,112,1
5,125.47,146.97,112,1
12,102.99,122.97,79,1
13,102.99,106.94,79,1
3,145.89,146.89,111,0
2,146.91,147.91,112,1
6,113.47,115.97,113,6
7,115.97,149.27,113,6
12,93.76,113.47,73,6
13,93.76,97.71,73,6
1,148.63,149.63,113,6
3,150.26,151.26,114,0
2,151.29,152.29,115,0
6,141.78,141.78,116,12
7,141.78,153.58,116,12
12,121.13,141.78,92,12
13,121.13,125.08,92,12
1,153.58,154.58,116,12
3,154.68,155.68,117,0
4,150.50,150.50,118,2
5,150.50,156.50,118,2
10,132.43,150.50,101,2
11,132.43,138.35,101,2
2,156.49,157.49,118,2
6,139.87,139.87,119,3
7,139.87,159.67,119,3
10,122.44,139.87,93,3
11,122.44,128.36,93,3
