Resource,Start,End,Track,Train
16,1601.75,1622.68,69,2
15,1601.75,1606.05,69,2
3,1626.10,1627.10,87,7
1,1627.03,1628.03,88,2
2,1629.17,1630.17,89,0
8,1627.39,1627.39,91,6
9,1627.39,1630.49,91,6
12,1605.76,1627.39,73,6
13,1605.76,1609.71,73,6
1,1629.95,1630.95,90,0
3,1630.30,1631.30,91,6
6,1629.24,1629.24,92,10
7,1629.24,1633.14,92,10
10,1611.42,1629.24,77,10
11,1611.42,1617.34,77,10
1,1633.12,1634.12,92,10
4,1627.80,1627.80,93,1
5,1627.80,1634.50,93,1
16,1607.07,1627.80,74,1
15,1607.07,1611.37,74,1
8,1631.21,1633.71,94,11
9,1633.71,1635.31,94,11
12,1610.26,1631.21,76,11
13,1610.26,1614.21,76,11
2,1634.44,1635.44,93,1
3,1635.31,1636.31,94,11
6,1634.12,1634.12,95,9
7,1634.12,1637.12,95,9
16,1613.13,1634.12,78,9
15,1613.13,1617.43,78,9
1,1636.58,1637.58,95,9
8,1636.55,1636.55,97,4
9,1636.55,1639.85,97,4
10,1617.93,1636.55,81,4
11,1617.93,1623.85,81,4
2,1639.19,1640.19,96,0
3,1639.83,1640.83,97,4
6,1639.39,1639.39,98,5
7,1639.39,1641.09,98,5
12,1618.94,1639.39,82,5
13,1618.94,1622.89,82,5
1,1640.19,1641.19,98,5
4,1635.22,1635.22,101,8
5,1635.22,1644.42,101,8
12,1614.94,1635.22,79,8
13,1614.94,1618.89,79,8
1,1643.47,1644.47,100,0
2,1644.42,1645.42,101,8
8,1643.28,1643.28,102,12
9,1643.28,1645.78,102,12
10,1624.46,1643.28,85,12
11,1624.46,1630.37,85,12
3,1645.75,1646.75,102,12
6,1646.88,1646.88,103,7
7,1646.88,1646.98,103,7
16,1626.18,1646.88,87,7
15,1626.18,1630.48,87,7
1,1646.92,1647.92,103,7
3,1648.77,1649.77,104,0
4,1645.48,1645.48,105,13
5,1645.48,1650.38,105,13
12,1622.95,1645.48,84,13
13,1622.95,1626.90,84,13
2,1650.01,1651.01,105,13
6,1641.31,1643.81,107,3
7,1643.81,1651.41,107,3
16,1621.23,1641.31,83,3
15,1621.23,1625.53,83,3
1,1651.41,1652.41,107,3
8,1649.89,1649.89,108,6
9,1649.89,1653.39,108,6
16,1630.49,1649.89,91,6
15,1630.49,1634.79,91,6
3,1653.37,1654.37,108,6
2,1653.97,1654.97,109,0
6,1656.31,1656.31,110,11
7,1656.31,1657.21,110,11
16,1635.31,1656.31,94,11
15,1635.31,1639.61,94,11
8,1648.69,1648.69,111,2
9,1648.69,1657.89,111,2
12,1627.08,1648.69,88,2
13,1627.08,1631.03,88,2
1,1657.20,1658.20,110,11
4,1652.12,1652.12,112,1
5,1652.12,1658.92,112,1
10,1634.50,1652.12,93,1
11,1634.50,1640.42,93,1
3,1657.89,1658.89,111,2
2,1658.91,1659.91,112,1
6,1659.55,1659.55,113,4
7,1659.55,1661.25,113,4
16,1639.85,1659.55,97,4
15,1639.85,1644.15,97,4
1,1660.63,1661.63,113,4
8,1661.78,1661.78,114,5
9,1661.78,1662.28,114,5
12,1641.09,1661.78,98,5
13,1641.09,1645.04,98,5
3,1662.26,1663.26,114,5
2,1663.29,1664.29,115,0
6,1662.92,1662.92,116,8
7,1662.92,1665.62,116,8
10,1644.42,1662.92,101,8
11,1644.42,1650.34,101,8
1,1665.58,1666.58,116,8
8,1655.05,1657.55,117,10
9,1657.55,1666.75,117,10
12,1633.14,1655.05,92,10
13,1633.14,1637.09,92,10
3,1666.68,1667.68,117,10
4,1658.56,1658.56,118,9
5,1658.56,1668.56,118,9
12,1637.12,1658.56,95,9
13,1637.12,1641.07,95,9
2,1668.49,1669.49,118,9
6,1668.88,1668.88,119,7
7,1668.88,1671.68,119,7
12,1646.98,1668.88,103,7
13,1646.98,1650.93,103,7
8,1667.33,1669.83,120,12
9,1669.83,1671.93,120,12
16,1645.78,1667.33,102,12
15,1645.78,1650.08,102,12
1,1671.66,1672.66,119,7
3,1671.92,1672.92,120,12
4,1672.73,1672.73,122,3
5,1672.73,1674.53,122,3
12,1651.41,1672.73,107,3
13,1651.41,1655.36,107,3
2,1673.68,1674.68,122,3
6,1674.65,1674.65,123,6
7,1674.65,1675.65,123,6
16,1653.39,1674.65,108,6
15,1653.39,1657.69,108,6
1,1675.05,1676.05,123,6
8,1677.18,1677.18,125,1
9,1677.18,1677.18,125,1
10,1658.92,1677.18,112,1
11,1658.92,1664.83,112,1
3,1677.16,1678.16,125,1
2,1678.24,1679.24,126,0
1,1678.60,1679.60,127,0
6,1669.86,1669.86,1,13
7,1669.86,1680.06,1,13
10,1650.38,1669.86,105,13
11,1650.38,1656.30,105,13
4,1678.98,1678.98,2,2
5,1678.98,1680.68,2,2
16,1657.89,1678.98,111,2
15,1657.89,1662.19,111,2
1,1680.01,1681.01,1,13
2,1680.65,1681.65,2,2
8,1677.99,1677.99,3,11
9,1677.99,1682.49,3,11
12,1657.21,1677.99,110,11
13,1657.21,1661.16,110,11
3,1682.43,1683.43,3,11
6,1683.31,1683.31,4,5
7,1683.31,1684.01,4,5
16,1662.28,1683.31,114,5
15,1662.28,1666.58,114,5
1,1683.49,1684.49,4,5
2,1685.03,1686.03,5,0
1,1686.93,1687.93,6,0
8,1686.78,1686.78,7,9
9,1686.78,1688.48,7,9
10,1668.56,1686.78,118,9
11,1668.56,1674.48,118,9
3,1688.44,1689.44,7,9
4,1682.40,1682.40,8,4
5,1682.40,1690.30,8,4
12,1661.25,1682.40,113,4
13,1661.25,1665.20,113,4
2,1690.28,1691.28,8,4
6,1688.24,1688.24,10,10
7,1688.24,1691.84,10,10
16,1666.75,1688.24,117,10
15,1666.75,1671.05,117,10
1,1691.82,1692.82,10,10
2,1693.19,1694.19,11,0
8,1693.76,1693.76,13,12
9,1693.76,1695.16,13,12
16,1671.93,1693.76,120,12
15,1671.93,1676.23,120,12
3,1695.13,1696.13,13,12
6,1696.19,1696.19,14,6
7,1696.19,1697.19,14,6
12,1675.65,1696.19,123,6
13,1675.65,1679.60,123,6
4,1687.21,1687.21,15,8
5,1687.21,1698.01,15,8
12,1665.62,1687.21,116,8
13,1665.62,1669.57,116,8
1,1697.17,1698.17,14,6
2,1698.00,1699.00,15,8
8,1692.42,1692.42,16,7
9,1692.42,1699.52,16,7
12,1671.68,1692.42,119,7
13,1671.68,1675.63,119,7
3,1699.19,1700.19,16,7
6,1700.25,1700.25,17,1
7,1700.25,1701.15,17,1
16,1677.18,1700.25,125,1
15,1677.18,1681.48,125,1
1,1700.57,1701.57,17,1
3,1702.77,1703.77,18,0
16,1682.49,1682.49,3,11
15,1682.49,1686.79,3,11
2,1704.04,1705.04,19,11
6,1694.72,1694.72,20,3
7,1694.72,1705.32,20,3
10,1674.53,1694.72,122,3
11,1674.53,1680.45,122,3
1,1705.28,1706.28,20,3
2,1707.55,1708.55,21,0
6,1705.60,1705.60,22,5
7,1705.60,1709.30,22,5
12,1684.01,1705.60,4,5
13,1684.01,1687.96,4,5
1,1708.51,1709.51,22,5
8,1703.22,1705.72,23,13
9,1705.72,1709.62,23,13
12,1680.06,1703.22,1,13
13,1680.06,1684.01,1,13
3,1709.56,1710.56,23,13
1,1710.83,1711.83,24,0
4,1709.90,1709.90,26,4
5,1709.90,1712.60,26,4
10,1690.30,1709.90,8,4
11,1690.30,1696.22,8,4
3,1712.25,1713.25,25,0
2,1712.60,1713.60,26,4
6,1701.65,1704.15,27,2
7,1704.15,1714.25,27,2
10,1680.68,1701.65,2,2
11,1680.68,1686.59,2,2
1,1714.24,1715.24,27,2
8,1711.32,1711.32,29,9
9,1711.32,1716.62,29,9
16,1688.48,1711.32,7,9
15,1688.48,1692.78,7,9
3,1716.60,1717.60,29,9
2,1717.11,1718.11,30,0
6,1717.21,1717.21,31,8
7,1717.21,1719.21,31,8
10,1698.01,1717.21,15,8
11,1698.01,1703.93,15,8
1,1719.20,1720.20,31,8
8,1718.07,1718.07,32,6
9,1718.07,1721.57,32,6
12,1697.19,1718.07,14,6
13,1697.19,1701.14,14,6
4,1712.82,1712.82,33,10
5,1712.82,1722.22,33,10
12,1691.84,1712.82,10,10
13,1691.84,1695.79,10,10
3,1721.53,1722.53,32,6
2,1722.19,1723.19,33,10
6,1722.33,1722.33,34,11
7,1722.33,1723.83,34,11
10,1704.06,1722.33,19,11
11,1704.06,1709.97,19,11
1,1723.82,1724.82,34,11
8,1715.49,1715.49,35,12
9,1715.49,1725.89,35,12
16,1695.16,1715.49,13,12
15,1695.16,1699.46,13,12
3,1725.84,1726.84,35,12
6,1721.21,1723.71,37,1
7,1723.71,1727.81,37,1
12,1701.15,1721.21,17,1
13,1701.15,1705.10,17,1
2,1726.93,1727.93,36,0
1,1727.56,1728.56,37,1
8,1726.53,1726.53,38,3
9,1726.53,1730.23,38,3
12,1705.32,1726.53,20,3
13,1705.32,1709.27,20,3
3,1730.18,1731.18,38,3
1,1730.67,1731.67,39,0
4,1731.34,1731.34,40,13
5,1731.34,1731.74,40,13
16,1709.62,1731.34,23,13
15,1709.62,1713.92,23,13
2,1731.72,1732.72,40,13
6,1720.36,1722.86,42,7
7,1722.86,1734.16,42,7
16,1699.52,1720.36,16,7
15,1699.52,1703.82,16,7
8,1731.90,1731.90,43,4
9,1731.90,1735.00,43,4
10,1712.60,1731.90,26,4
11,1712.60,1718.52,26,4
1,1734.13,1735.13,42,7
3,1734.99,1735.99,43,4
4,1736.96,1736.96,44,2
5,1736.96,1737.66,44,2
12,1714.25,1736.96,27,2
13,1714.25,1718.20,27,2
2,1737.07,1738.07,44,2
6,1738.14,1738.14,45,9
7,1738.14,1738.14,45,9
16,1716.62,1738.14,29,9
15,1716.62,1720.92,29,9
1,1738.07,1739.07,45,9
8,1729.88,1729.88,46,5
9,1729.88,1739.38,46,5
12,1709.30,1729.88,22,5
13,1709.30,1713.25,22,5
3,1739.29,1740.29,46,5
6,1739.76,1739.76,48,10
7,1739.76,1742.16,48,10
10,1722.22,1739.76,33,10
11,1722.22,1728.14,33,10
2,1741.84,1742.84,49,0
1,1741.49,1742.49,48,10
8,1741.30,1743.80,50,8
9,1743.80,1743.80,50,8
12,1719.21,1741.30,31,8
13,1719.21,1723.16,31,8
3,1743.68,1744.68,50,8
1,1745.00,1746.00,51,0
4,1742.23,1744.73,52,6
5,1744.73,1746.63,52,6
16,1721.57,1742.23,32,6
15,1721.57,1725.87,32,6
2,1746.62,1747.62,52,6
8,1743.85,1743.85,53,11
9,1743.85,1748.15,53,11
12,1723.83,1743.85,34,11
13,1723.83,1727.78,34,11
3,1748.03,1749.03,53,11
6,1746.59,1746.59,54,12
7,1746.59,1749.09,54,12
16,1725.89,1746.59,35,12
15,1725.89,1730.19,35,12
1,1749.08,1750.08,54,12
3,1751.38,1752.38,55,0
4,1748.67,1748.67,56,1
5,1748.67,1752.57,56,1
12,1727.81,1748.67,37,1
13,1727.81,1731.76,37,1
6,1751.39,1751.39,57,13
7,1751.39,1753.09,57,13
10,1731.74,1751.39,40,13
11,1731.74,1737.65,40,13
2,1752.38,1753.38,56,1
1,1752.61,1753.61,57,13
1,1756.01,1757.01,58,0
8,1756.10,1756.10,60,7
9,1756.10,1757.50,60,7
12,1734.16,1756.10,42,7
13,1734.16,1738.11,42,7
2,1757.11,1758.11,59,0
3,1757.46,1758.46,60,7
6,1758.80,1758.80,61,2
7,1758.80,1759.50,61,2
10,1737.66,1758.80,44,2
11,1737.66,1743.58,44,2
1,1759.45,1760.45,61,2
4,1757.91,1757.91,62,4
5,1757.91,1760.91,62,4
16,1735.00,1757.91,43,4
15,1735.00,1739.30,43,4
8,1752.61,1752.61,63,3
9,1752.61,1761.81,63,3
16,1730.23,1752.61,38,3
15,1730.23,1734.53,38,3
3,1761.51,1762.51,63,3
2,1760.88,1761.88,62,4
6,1760.06,1762.56,64,9
7,1762.56,1763.46,64,9
12,1738.14,1760.06,45,9
13,1738.14,1742.09,45,9
1,1762.90,1763.90,64,9
8,1763.73,1763.73,65,8
9,1763.73,1766.13,65,8
16,1743.80,1763.73,50,8
15,1743.80,1748.10,50,8
3,1765.34,1766.34,65,8
10,1746.63,1746.63,52,6
11,1746.63,1752.54,52,6
2,1766.54,1767.54,66,6
6,1762.06,1764.56,67,5
7,1764.56,1767.66,67,5
16,1739.38,1762.06,46,5
15,1739.38,1743.68,46,5
1,1767.59,1768.59,67,5
8,1770.27,1770.27,69,11
9,1770.27,1770.47,69,11
16,1748.15,1770.27,53,11
15,1748.15,1752.45,53,11
3,1769.68,1770.68,69,11
1,1770.34,1771.34,70,0
2,1771.36,1772.36,72,0
6,1765.88,1765.88,73,10
7,1765.88,1773.78,73,10
12,1742.16,1765.88,48,10
13,1742.16,1746.11,48,10
1,1773.76,1774.76,73,10
8,1774.68,1774.68,74,13
9,1774.68,1775.08,74,13
12,1753.09,1774.68,57,13
13,1753.09,1757.04,57,13
3,1775.07,1776.07,74,13
3,1776.34,1777.34,75,0
6,1770.69,1770.69,76,12
7,1770.69,1778.29,76,12
12,1749.09,1770.69,54,12
13,1749.09,1753.04,54,12
1,1778.24,1779.24,76,12
4,1777.80,1777.80,77,7
5,1777.80,1779.40,77,7
16,1757.50,1777.80,60,7
15,1757.50,1761.80,60,7
2,1779.40,1780.40,77,7
8,1781.10,1781.10,78,2
9,1781.10,1781.20,78,2
12,1759.50,1781.10,61,2
13,1759.50,1763.45,61,2
3,1781.10,1782.10,78,2
6,1779.04,1781.54,79,4
7,1781.54,1782.94,79,4
10,1760.91,1779.04,62,4
11,1760.91,1766.83,62,4
1,1782.94,1783.94,79,4
2,1783.73,1784.73,80,0
4,1783.03,1783.03,81,3
5,1783.03,1785.93,81,3
16,1761.81,1783.03,63,3
15,1761.81,1766.11,63,3
6,1772.40,1772.40,82,1
7,1772.40,1786.90,82,1
10,1752.57,1772.40,56,1
11,1752.57,1758.49,56,1
2,1785.90,1786.90,81,3
1,1786.36,1787.36,82,1
8,1784.83,1784.83,83,9
9,1784.83,1789.23,83,9
12,1763.46,1784.83,64,9
13,1763.46,1767.41,64,9
3,1789.23,1790.23,83,9
6,1790.05,1790.05,84,11
7,1790.05,1790.85,84,11
16,1770.47,1790.05,69,11
15,1770.47,1774.77,69,11
1,1790.08,1791.08,84,11
4,1787.91,1787.91,85,8
5,1787.91,1792.41,85,8
16,1766.13,1787.91,65,8
15,1766.13,1770.43,65,8
2,1792.39,1793.39,85,8
8,1789.63,1789.63,87,5
9,1789.63,1794.13,87,5
12,1767.66,1789.63,67,5
13,1767.66,1771.61,67,5
6,1785.74,1785.74,88,6
7,1785.74,1795.04,88,6
10,1766.84,1785.74,66,6
11,1766.84,1772.76,66,6
3,1794.10,1795.10,87,5
1,1795.03,1796.03,88,6
2,1797.17,1798.17,89,0
8,1795.55,1795.55,91,10
9,1795.55,1798.45,91,10
12,1773.78,1795.55,73,10
13,1773.78,1777.73,73,10
1,1797.95,1798.95,90,0
3,1798.30,1799.30,91,10
6,1796.65,1796.65,92,13
7,1796.65,1801.15,92,13
16,1775.08,1796.65,74,13
15,1775.08,1779.38,74,13
1,1801.12,1802.12,92,13
4,1799.67,1799.67,93,12
5,1799.67,1802.47,93,12
12,1778.29,1799.67,76,12
13,1778.29,1782.24,76,12
8,1801.17,1801.17,94,2
9,1801.17,1803.37,94,2
16,1781.20,1801.17,78,2
15,1781.20,1785.50,78,2
2,1802.44,1803.44,93,12
3,1803.31,1804.31,94,2
6,1804.82,1804.82,95,3
7,1804.82,1805.12,95,3
10,1785.93,1804.82,81,3
11,1785.93,1791.85,81,3
1,1804.58,1805.58,95,3
8,1797.80,1797.80,97,7
9,1797.80,1807.90,97,7
10,1779.40,1797.80,77,7
11,1779.40,1785.32,77,7
2,1807.19,1808.19,96,0
3,1807.83,1808.83,97,7
6,1806.20,1806.20,98,4
7,1806.20,1809.10,98,4
12,1782.94,1806.20,79,4
13,1782.94,1786.89,79,4
1,1808.19,1809.19,98,4
4,1808.94,1808.94,101,1
5,1808.94,1812.44,101,1
12,1786.90,1808.94,82,1
13,1786.90,1790.85,82,1
1,1811.47,1812.47,100,0
2,1812.42,1813.42,101,1
8,1809.87,1809.87,102,9
9,1809.87,1813.77,102,9
16,1789.23,1809.87,83,9
15,1789.23,1793.53,83,9
3,1813.75,1814.75,102,9
16,1794.13,1794.13,87,5
15,1794.13,1798.43,87,5
1,1814.92,1815.92,103,5
3,1816.77,1817.77,104,0
4,1810.97,1810.97,105,8
5,1810.97,1818.37,105,8
10,1792.41,1810.97,85,8
11,1792.41,1798.32,85,8
2,1818.01,1819.01,105,8
6,1812.75,1815.25,107,11
7,1815.25,1819.45,107,11
12,1790.85,1812.75,84,11
13,1790.85,1794.80,84,11
1,1819.41,1820.41,107,11
8,1820.74,1820.74,108,10
9,1820.74,1821.44,108,10
16,1798.45,1820.74,91,10
15,1798.45,1802.75,91,10
3,1821.37,1822.37,108,10
2,1821.97,1822.97,109,0
6,1822.62,1822.62,110,13
7,1822.62,1825.22,110,13
12,1801.15,1822.62,92,13
13,1801.15,1805.10,92,13
8,1824.72,1824.72,111,2
9,1824.72,1825.92,111,2
16,1803.37,1824.72,94,2
15,1803.37,1807.67,94,2
1,1825.20,1826.20,110,13
4,1825.33,1825.33,112,3
5,1825.33,1826.93,112,3
12,1805.12,1825.33,95,3
13,1805.12,1809.07,95,3
3,1825.89,1826.89,111,2
2,1826.91,1827.91,112,3
6,1821.57,1821.57,113,12
7,1821.57,1829.17,113,12
10,1802.47,1821.57,93,12
11,1802.47,1808.38,93,12
1,1828.63,1829.63,113,12
8,1828.21,1828.21,114,7
9,1828.21,1830.31,114,7
16,1807.90,1828.21,97,7
15,1807.90,1812.20,97,7
3,1830.26,1831.26,114,7
2,1831.29,1832.29,115,0
6,1833.61,1833.61,116,9
7,1833.61,1833.61,116,9
16,1813.77,1833.61,102,9
15,1813.77,1818.07,102,9
1,1833.58,1834.58,116,9
8,1832.31,1832.31,117,4
9,1832.31,1834.71,117,4
12,1809.10,1832.31,98,4
13,1809.10,1813.05,98,4
3,1834.68,1835.68,117,4
4,1830.92,1830.92,118,1
5,1830.92,1836.52,118,1
10,1812.44,1830.92,101,1
11,1812.44,1818.36,101,1
2,1836.49,1837.49,118,1
6,1836.49,1836.49,119,8
7,1836.49,1839.69,119,8
10,1818.37,1836.49,105,8
11,1818.37,1824.29,105,8
8,1818.55,1818.55,120,6
9,1818.55,1839.95,120,6
12,1795.04,1818.55,88,6
13,1795.04,1798.99,88,6
1,1839.66,1840.66,119,8
3,1839.92,1840.92,120,6
4,1842.05,1842.05,122,10
5,1842.05,1842.45,122,10
16,1821.44,1842.05,108,10
15,1821.44,1825.74,108,10
2,1841.68,1842.68,122,10
6,1835.75,1835.75,123,5
7,1835.75,1843.65,123,5
12,1814.95,1835.75,103,5
13,1814.95,1818.90,103,5
1,1843.05,1844.05,123,5
8,1840.18,1840.18,125,11
9,1840.18,1845.18,125,11
12,1819.45,1840.18,107,11
13,1819.45,1823.40,107,11
3,1845.16,1846.16,125,11
2,1846.24,1847.24,126,0
1,1846.60,1847.60,127,0
6,1846.94,1846.94,1,13
7,1846.94,1848.04,1,13
12,1825.22,1846.94,110,13
13,1825.22,1829.17,110,13
4,1847.96,1847.96,2,2
5,1847.96,1848.66,2,2
16,1825.92,1847.96,111,2
15,1825.92,1830.22,111,2
2,1848.65,1849.65,2,2
1,1848.01,1849.01,1,13
8,1847.36,1849.86,3,3
9,1849.86,1850.46,3,3
10,1826.93,1847.36,112,3
11,1826.93,1832.85,112,3
3,1850.43,1851.43,3,3
6,1851.83,1851.83,4,7
7,1851.83,1852.03,4,7
16,1830.31,1851.83,114,7
15,1830.31,1834.61,114,7
1,1851.49,1852.49,4,7
2,1853.03,1854.03,5,0
1,1854.93,1855.93,6,0
8,1855.56,1855.56,7,1
9,1855.56,1856.46,7,1
10,1836.52,1855.56,118,1
11,1836.52,1842.44,118,1
3,1856.44,1857.44,7,1
4,1856.68,1856.68,8,9
5,1856.68,1858.28,8,9
12,1833.61,1856.68,116,9
13,1833.61,1837.56,116,9
2,1858.28,1859.28,8,9
6,1857.83,1857.83,10,4
7,1857.83,1859.83,10,4
16,1834.71,1857.83,117,4
15,1834.71,1839.01,117,4
1,1859.82,1860.82,10,4
2,1861.19,1862.19,11,0
8,1860.14,1860.14,13,8
9,1860.14,1863.14,13,8
12,1839.69,1860.14,119,8
13,1839.69,1843.64,119,8
3,1863.13,1864.13,13,8
6,1860.58,1863.08,14,10
7,1863.08,1865.18,14,10
10,1842.45,1860.58,122,10
11,1842.45,1848.36,122,10
4,1850.63,1850.63,15,12
5,1850.63,1866.03,15,12
12,1829.17,1850.63,113,12
13,1829.17,1833.12,113,12
1,1865.17,1866.17,14,10
2,1866.00,1867.00,15,12
8,1861.89,1861.89,16,6
9,1861.89,1867.49,16,6
16,1839.95,1861.89,120,6
15,1839.95,1844.25,120,6
3,1867.19,1868.19,16,6
6,1864.13,1864.13,17,5
7,1864.13,1869.13,17,5
12,1843.65,1864.13,123,5
13,1843.65,1847.60,123,5
1,1868.57,1869.57,17,5
3,1870.77,1871.77,18,0
4,1871.17,1871.17,19,3
5,1871.17,1872.07,19,3
16,1850.46,1871.17,3,3
15,1850.46,1854.76,3,3
2,1872.04,1873.04,19,3
6,1872.91,1872.91,20,7
7,1872.91,1873.31,20,7
12,1852.03,1872.91,4,7
13,1852.03,1855.98,4,7
1,1873.28,1874.28,20,7
2,1875.55,1876.55,21,0
6,1876.37,1876.37,22,9
7,1876.37,1877.27,22,9
10,1858.28,1876.37,8,9
11,1858.28,1864.20,8,9
1,1876.51,1877.51,22,9
8,1868.48,1868.48,23,2
9,1868.48,1877.58,23,2
10,1848.66,1868.48,2,2
11,1848.66,1854.58,2,2
3,1877.56,1878.56,23,2
1,1878.83,1879.83,24,0
4,1867.02,1867.02,26,11
5,1867.02,1880.62,26,11
16,1845.18,1867.02,125,11
15,1845.18,1849.48,125,11
3,1880.25,1881.25,25,0
2,1880.60,1881.60,26,11
6,1869.28,1869.28,27,13
7,1869.28,1882.28,27,13
12,1848.04,1869.28,1,13
13,1848.04,1851.99,1,13
1,1882.24,1883.24,27,13
8,1877.84,1877.84,29,1
9,1877.84,1884.64,29,1
16,1856.46,1877.84,7,1
15,1856.46,1860.76,7,1
3,1884.60,1885.60,29,1
2,1885.11,1886.11,30,0
6,1887.12,1887.12,31,6
7,1887.12,1887.22,31,6
16,1867.49,1887.12,16,6
15,1867.49,1871.79,16,6
1,1887.20,1888.20,31,6
8,1884.35,1884.35,32,10
9,1884.35,1889.55,32,10
12,1865.18,1884.35,14,10
13,1865.18,1869.13,14,10
4,1890.22,1890.22,33,5
5,1890.22,1890.22,33,5
12,1869.13,1890.22,17,5
13,1869.13,1873.08,17,5
3,1889.53,1890.53,32,10
2,1890.19,1891.19,33,5
6,1890.64,1890.64,34,3
7,1890.64,1891.84,34,3
10,1872.07,1890.64,19,3
11,1872.07,1877.99,19,3
1,1891.82,1892.82,34,3
8,1884.77,1887.27,35,12
9,1887.27,1893.87,35,12
10,1866.03,1884.77,15,12
11,1866.03,1871.95,15,12
3,1893.84,1894.84,35,12
6,1880.59,1880.59,37,4
7,1880.59,1895.79,37,4
12,1859.83,1880.59,10,4
13,1859.83,1863.78,10,4
2,1894.93,1895.93,36,0
1,1895.56,1896.56,37,4
8,1883.09,1883.09,38,8
9,1883.09,1898.19,38,8
16,1863.14,1883.09,13,8
15,1863.14,1867.44,13,8
3,1898.18,1899.18,38,8
1,1898.67,1899.67,39,0
4,1893.74,1893.74,40,7
5,1893.74,1899.74,40,7
12,1873.31,1893.74,20,7
13,1873.31,1877.26,20,7
2,1899.72,1900.72,40,7
6,1898.58,1901.08,42,2
7,1901.08,1902.18,42,2
16,1877.58,1898.58,23,2
15,1877.58,1881.88,23,2
8,1900.22,1900.22,43,11
9,1900.22,1903.02,43,11
10,1880.62,1900.22,26,11
11,1880.62,1886.54,26,11
1,1902.13,1903.13,42,2
3,1902.99,1903.99,43,11
4,1899.38,1899.38,44,9
5,1899.38,1905.68,44,9
12,1877.27,1899.38,22,9
13,1877.27,1881.22,22,9
2,1905.07,1906.07,44,9
6,1905.85,1905.85,45,1
7,1905.85,1906.15,45,1
16,1884.64,1905.85,29,1
15,1884.64,1888.94,29,1
1,1906.07,1907.07,45,1
8,1903.41,1905.91,46,13
9,1905.91,1907.41,46,13
12,1882.28,1903.41,27,13
13,1882.28,1886.23,27,13
3,1907.29,1908.29,46,13
6,1908.75,1908.75,48,6
7,1908.75,1910.15,48,6
12,1887.22,1908.75,31,6
13,1887.22,1891.17,31,6
1,1909.49,1910.49,48,6
2,1909.84,1910.84,49,0
8,1909.47,1909.47,50,5
9,1909.47,1911.77,50,5
10,1890.22,1909.47,33,5
11,1890.22,1896.14,33,5
3,1911.68,1912.68,50,5
1,1913.00,1914.00,51,0
4,1914.17,1914.17,52,12
5,1914.17,1914.67,52,12
16,1893.87,1914.17,35,12
15,1893.87,1898.17,35,12
2,1914.62,1915.62,52,12
8,1912.47,1912.47,53,3
9,1912.47,1916.07,53,3
12,1891.84,1912.47,34,3
13,1891.84,1895.79,34,3
6,1910.40,1910.40,54,10
7,1910.40,1917.10,54,10
16,1889.55,1910.40,32,10
15,1889.55,1893.85,32,10
3,1916.03,1917.03,53,3
1,1917.08,1918.08,54,10
3,1919.38,1920.38,55,0
4,1918.23,1918.23,56,4
5,1918.23,1920.63,56,4
12,1895.79,1918.23,37,4
13,1895.79,1899.74,37,4
6,1919.26,1919.26,57,8
7,1919.26,1921.06,57,8
16,1898.19,1919.26,38,8
15,1898.19,1902.49,38,8
1,1920.61,1921.61,57,8
2,1920.38,1921.38,56,4
1,1924.01,1925.01,58,0
8,1920.00,1922.50,60,7
9,1922.50,1925.50,60,7
10,1899.74,1920.00,40,7
11,1899.74,1905.66,40,7
2,1925.11,1926.11,59,0
3,1925.46,1926.46,60,7
6,1924.05,1924.05,61,2
7,1924.05,1927.45,61,2
12,1902.18,1924.05,42,2
13,1902.18,1906.13,42,2
1,1927.45,1928.45,61,2
4,1925.80,1925.80,62,9
5,1925.80,1928.90,62,9
10,1905.68,1925.80,44,9
11,1905.68,1911.60,44,9
8,1929.71,1929.71,63,13
9,1929.71,1929.81,63,13
16,1907.41,1929.71,46,13
15,1907.41,1911.71,46,13
2,1928.88,1929.88,62,9
3,1929.51,1930.51,63,13
6,1928.15,1930.65,64,1
7,1930.65,1931.45,64,1
12,1906.15,1928.15,45,1
13,1906.15,1910.10,45,1
1,1930.90,1931.90,64,1
8,1933.93,1933.93,65,12
9,1933.93,1934.13,65,12
10,1914.67,1933.93,52,12
11,1914.67,1920.59,52,12
3,1933.34,1934.34,65,12
4,1932.04,1932.04,66,5
5,1932.04,1934.84,66,5
16,1911.77,1932.04,50,5
15,1911.77,1916.07,50,5
2,1934.54,1935.54,66,5
6,1926.56,1926.56,67,11
7,1926.56,1935.66,67,11
16,1903.02,1926.56,43,11
15,1903.02,1907.32,43,11
1,1935.59,1936.59,67,11
8,1930.17,1930.17,69,6
9,1930.17,1938.47,69,6
12,1910.15,1930.17,48,6
13,1910.15,1914.10,48,6
3,1937.68,1938.68,69,6
1,1938.34,1939.34,70,0
2,1939.36,1940.36,72,0
6,1937.68,1937.68,73,10
7,1937.68,1941.78,73,10
12,1917.10,1937.68,54,10
13,1917.10,1921.05,54,10
1,1941.76,1942.76,73,10
8,1940.00,1940.00,74,4
9,1940.00,1943.10,74,4
10,1920.63,1940.00,56,4
11,1920.63,1926.54,56,4
3,1943.07,1944.07,74,4
3,1944.34,1945.34,75,0
6,1945.30,1945.30,76,7
7,1945.30,1946.30,76,7
16,1925.50,1945.30,60,7
15,1925.50,1929.80,60,7
1,1946.24,1947.24,76,7
4,1938.10,1938.10,77,3
